,name,rating,reviews,companytype,numemployee
1975,Consulting Engineers Group,4.3,323,Engineering & Construction , 1k-5k Employees 
1976,Yokohama,3.9,323,Auto Components , 1k-5k Employees 
1977,Razorpay,3.9,323,Financial Services , 1k-5k Employees 
1978,Sapphire Foods India,4.0,323,Retail , 5k-10k Employees 
1979,PayU Payments,3.8,323,FinTech , 1k-5k Employees 
1980,SLMG Beverages,3.9,323,Beverage , 51-200 Employees 
1981,Aksentt Tech Services,4.8,323,Telecom , 1k-5k Employees 
1982,UDAAN CARGO & LOGISTICS,4.1,323,Logistics , 201-500 Employees 
1983,Bahwan CyberTek,4.0,323,IT Services & Consulting , 1k-5k Employees 
1984,Iron Mountain Inc,4.1,322,IT Services & Consulting , 1k-5k Employees 
1985,Ssipl Lifestyle,3.8,322,Retail , 1k-5k Employees 
1986,BYJU'S Exam Prep,4.0,322,EdTech , 501-1k Employees 
1987,Labournet Services,4.0,322,Non-Profit , 51-200 Employees 
1988,Wood Group,4.1,321,Oil & Gas , 51-200 Employees 
1989,Toyota,4.3,321,Automobile , 5k-10k Employees 
1990,Mecon,4.0,321,Metals & Mining , 1k-5k Employees 
1991,Axiscades,3.2,321,Industrial Machinery , 1k-5k Employees 
1992,Blackrock,4.1,321,Investment Banking / Venture Capital / Private Equity , 1k-5k Employees 
1993,Varuna Integrated Logistics,3.8,321,Logistics , 1k-5k Employees 
1994,mPokket,4.3,321,FinTech , 1k-5k Employees 
1995,Zycus Infotech,3.4,321,Software Product , 1k-5k Employees 
1996,Karvy Financial Services,3.7,320,Financial Services , 51-200 Employees 
1997,Suroj Buildcon,4.0,320,Engineering & Construction , 1k-5k Employees 
1998,Allegis Group,3.6,320,Recruitment , 501-1k Employees 
1999,Vectus Industries,4.1,320,Petrochemicals , 1k-5k Employees 
2000,India Post,3.9,320,Government , 1 Lakh+ Employees 
2001,WayCool Foods and Products,3.6,320,FMCG , 501-1k Employees 
2002,Portea Medical,3.7,319,Healthcare , 501-1k Employees 
2003,Inspirisys Solution,4.0,319,IT Services & Consulting , 1k-5k Employees 
2004,Nissin Brake,4.1,318,Auto Components , 201-500 Employees 
2005,Navin Fluorine International,4.1,318,Chemicals , 501-1k Employees 
2006,Hinduja Housing Finance,3.9,318,NBFC , 1k-5k Employees 
2007,First Flight Couriers,4.1,318,Logistics , 1k-5k Employees 
2008,Serum Institute of India,4.2,318,Pharma , 1k-5k Employees 
2009,Fujiyama Power System,3.6,318,Power , 51-200 Employees 
2010,Hero Cycles,3.4,318,Automobile , 1k-5k Employees 
2011,Porter,3.9,318,Internet , 1k-5k Employees 
2012,DFM Foods,4.0,318,Food Processing , 501-1k Employees 
2013,National Payments Corporation of India,3.5,318,FinTech , 501-1k Employees 
2014,Vimta Labs,3.6,317,Healthcare , 1k-5k Employees 
2015,Voyants Solutions,3.7,317,Engineering & Construction , 501-1k Employees 
2016,ABCI Infrastructures,3.6,317,Engineering & Construction , 51-200 Employees 
2017,Torry Harris Integration Solutions,4.0,317,IT Services & Consulting , 1k-5k Employees 
2018,Kunal Structure,3.7,317,Real Estate , 201-500 Employees 
2019,Bhilosa Industries,3.8,317,Fashion & Textile , 5k-10k Employees 
2020,ByteDance,4.3,317,Internet , 1k-5k Employees 
2021,Evolve Technologies & Services,4.1,316,Recruitment , 201-500 Employees 
2022,URC Construction,3.5,316,Engineering & Construction , 201-500 Employees 
