,name,rating,reviews,companytype,numemployee
2879,Nitco,4.3,226,Building Material , 1k-5k Employees 
2880,Tata Metaliks,4.0,226,Iron & Steel , 1k-5k Employees 
2881,GS Lab,4.0,226,IT Services & Consulting , 1k-5k Employees 
2882,Arena Animation,3.6,226,Education & Training , 11-50 Employees 
2883,Acko General Insurance,3.8,226,Insurance , 1k-5k Employees 
2884,Evolent Health International,4.1,226,IT Services & Consulting , 501-1k Employees 
2885,Kauvery Hospital,4.0,226,Healthcare , 51-200 Employees 
2886,Air Liquide,3.9,226,Chemicals , 201-500 Employees 
2887,Mindsprint,4.1,226,IT Services & Consulting , 1k-5k Employees 
2888,Carraro,4.0,225,Industrial Machinery , 1k-5k Employees 
2889,Indian Institute of Technology Gandhinagar,4.2,225,Education & Training , 501-1k Employees 
2890,Louis Philippe,4.3,225,Fashion & Textile , 1k-5k Employees 
2891,TRL Krosaki Refractories,3.8,225,Metals & Mining , 1k-5k Employees 
2892,Ozone Overseas,3.8,225,Architecture & Interior Design , 51-200 Employees 
2893,Siemens Healthcare,4.4,225,Healthcare , 1k-5k Employees 
2894,Shakti Pumps,3.7,225,Industrial Machinery , 501-1k Employees 
2895,DISYS,3.0,225,Recruitment , 51-200 Employees 
2896,CSC,3.9,225,Noida +24 more,
2897,Omega Healthcare Solutions,3.7,225,IT Services & Consulting , 10k-50k Employees (Global) 
2898,Roki Minda Co,4.5,225,Auto Components , 51-200 Employees 
2899,Cheil India,3.3,225,Marketing & Advertising , 201-500 Employees 
2900,CorroHealth,3.3,225,1k-5k Employees , Hyderabad/Secunderabad +7 more
2901,Tommy Hilfiger,4.4,224,Fashion & Textile , 1k-5k Employees 
2902,Sundaram Auto Components,3.9,224,Auto Components , 501-1k Employees 
2903,Aeronautical Development Agency,4.2,224,Defence & Aerospace , 51-200 Employees 
2904,Manhattan Associates,4.0,224,IT Services & Consulting , 1k-5k Employees 
2905,IDS Infotech,3.1,224,IT Services & Consulting , 1k-5k Employees 
2906,CareEdge Ratings,3.0,224,Financial Services , 501-1k Employees 
2907,Ruby Hall Clinic,3.9,224,Healthcare , 201-500 Employees 
2908,ClearTax,3.2,224,IT Services & Consulting , 501-1k Employees 
2909,Reliance Money,4.1,224,Financial Services , 51-200 Employees 
2910,HDFC Home Loan,4.1,224,NBFC , 1k-5k Employees 
2911,Nesma & Partners,4.4,224,Engineering & Construction , 51-200 Employees 
2912,V-bazaar Retail,4.1,224,Retail , 1k-5k Employees 
2913,Zimetrics Technologies,4.6,224,IT Services & Consulting , 201-500 Employees 
2914,Bharat Oman Refineries,3.8,223,Oil & Gas , 501-1k Employees 
2915,Tata ClassEdge,3.8,223,EdTech , 501-1k Employees 
2916,VIT University,4.2,223,Education & Training , 1k-5k Employees 
2917,MeritNation,3.6,223,EdTech , 51-200 Employees 
2918,Arabian Industries,3.8,223,Oil & Gas , 51-200 Employees 
2919,Desun Hospital & Heart Institute,3.6,223,Healthcare , 1k-5k Employees 
2920,Coronis Health,3.9,223,Healthcare , 501-1k Employees 
2921,Emblix Solutions,4.9,223,IT Services & Consulting , 51-200 Employees 
2922,Dhruv Research,3.4,223,Management Consulting , 51-200 Employees 
2923,The Indian Hotels Company,4.3,223,Hospitality , 1k-5k Employees 
2924,Banco Products,3.5,222,Auto Components , 501-1k Employees 
2925,A-1 Fence Products,4.0,222,Industrial Machinery , 201-500 Employees 
2926,Dorf Ketal Chemicals,3.8,222,Oil & Gas , 1k-5k Employees 
2927,Halliburton,3.7,222,Power , 1k-5k Employees 
2928,Huntsman International,4.3,222,Chemicals , 501-1k Employees 
2929,RDC Concrete (India),4.1,222,Real Estate , 501-1k Employees 
2930,Saksoft,3.7,222,IT Services & Consulting , 1k-5k Employees 
2931,Cordova Publication,3.4,222,Printing & Publishing , 11-50 Employees 
2932,Bird Worldwide Flight Services,3.6,222,Aviation , 1k-5k Employees 
2933,Impact Guru,4.1,222,Internet , 201-500 Employees 
2934,Arvind Fashions,3.7,222,Fashion & Textile , 1k-5k Employees 
2935,Shyam Sel & Power,3.8,222,Industrial Machinery , 5k-10k Employees 
2936,Akbar Travels,4.3,222,Travel & Tourism , 1k-5k Employees 
2937,Leverage Edu,3.7,222,EdTech , 51-200 Employees 
2938,Highway Industries,4.0,221,Engineering & Construction , 1k-5k Employees 
2939,Fosroc Chemicals India,4.5,221,Chemicals , 201-500 Employees 
2940,Smaaash Entertainment,3.7,221,Sports & Recreation , 501-1k Employees 
2941,HDFC Mutual Fund,3.8,221,Financial Services , 1k-5k Employees 
2942,ArcelorMittal,3.9,221,Iron & Steel , 501-1k Employees 
2943,Encube Ethicals,3.7,221,Pharma , 201-500 Employees 
2944,Ang India,4.0,221,Consumer Electronics & Appliances , 201-500 Employees 
2945,Yara Fertilisers,4.0,221,Agro Chemicals , 501-1k Employees 
2946,Parul University,3.4,221,Education & Training , 201-500 Employees 
2947,Jubilant Ingrevia,3.8,221,Chemicals , 201-500 Employees 
2948,Kanpur Fertilizers & Chemicals,4.0,221,Agro Chemicals , 501-1k Employees 
2949,Greenpanel Industries,4.2,221,Furniture & Furnishing , 1k-5k Employees 
2950,Welspun Flooring,3.7,221,Building Material , 51-200 Employees 
2951,Yokohama Off-Highway Tires,3.8,221,Auto Components , 1k-5k Employees 
2952,5paisa Capital,3.8,221,Financial Services , 201-500 Employees 
2953,Patil Group,4.0,221,Engineering & Construction , 11-50 Employees 
2954,Sunstone,4.1,221,Education & Training , 501-1k Employees 
2955,Petpooja,4.4,221,Software Product , 201-500 Employees 
2956,CPM India Sales & Marketing,4.2,220,Marketing & Advertising , 501-1k Employees 
2957,Virchow Biotech,3.4,220,Pharma , 1k-5k Employees 
2958,Zydex Industries,4.1,220,Chemicals , 501-1k Employees 
2959,Magic Software,3.3,220,IT Services & Consulting , 201-500 Employees 
2960,Moody's Analytics,3.5,220,Analytics & KPO , 501-1k Employees 
2961,Roche Diagnostics,3.8,220,Pharma , 201-500 Employees 
2962,Eastman Chemical Company,4.4,220,Chemicals , 501-1k Employees 
2963,Treebo Hotels,3.4,220,Internet , 51-200 Employees 
2964,Vayam Info Solutions,3.9,220,Recruitment , 201-500 Employees 
2965,Apparel Group,3.6,220,Retail , 501-1k Employees 
2966,HungerBox,3.9,220,Internet , 501-1k Employees 
2967,UCO Bank,3.7,220,Banking , 10k-50k Employees 
2968,Premium Transmission,3.7,220,Industrial Machinery , 501-1k Employees 
2969,Gtpl Hathway,4.1,220,Media & Entertainment , 1k-5k Employees 
2970,Council of Scientific and Industrial Research,4.5,220,Government , 5k-10k Employees 
2971,El Seif Engineering Contracting,4.4,220,Engineering & Construction , 51-200 Employees 
2972,Tradebulls,2.8,220,Financial Services , 11-50 Employees 
2973,Helloverify,3.4,220,Law Enforcement & Security , 201-500 Employees 
2974,Madura Micro Finance,4.0,219,Financial Services , 1k-5k Employees 
2975,Stovekraft,3.8,219,Consumer Electronics & Appliances , 1k-5k Employees 
2976,Danfoss Power Solutions,4.0,219,Power , 51-200 Employees 
2977,Nexteer Automotive,3.8,219,Auto Components , 501-1k Employees 
2978,New Holland Fiat (India),4.3,219,Auto Components , 501-1k Employees 
2979,Subway,4.3,219,Hospitality , 1k-5k Employees 
2980,Bharat Rasayan,4.0,219,Agro Chemicals , 501-1k Employees 
2981,ACB (India),3.9,219,Oil & Gas , 201-500 Employees 
2982,ICRA,3.3,219,Financial Services , 201-500 Employees 
2983,Berkadia,4.1,219,Financial Services , 1k-5k Employees 
2984,ESAB,4.1,219,Industrial Machinery , 501-1k Employees 
2985,ArcGate,3.5,219,IT Services & Consulting , 1k-5k Employees 
2986,Sangeetha Mobile,3.9,219,Internet , 1k-5k Employees 
2987,SKH Y-TEC,4.0,219,Auto Components , 1k-5k Employees 
2988,HiyaMee Private Limited,3.2,219,Recruitment , 501-1k Employees 
2989,Ubisoft Entertainment,4.0,219,Gaming , 1k-5k Employees 
2990,Busibud,4.0,219,Emerging Technologies , 11-50 Employees 
2991,AQM Technologies,3.3,219,IT Services & Consulting , 1k-5k Employees 
2992,ISS SDB Security Services,4.3,218,Facility Management Services , 1k-5k Employees 
2993,The Louis Berger Group,4.3,218,Engineering & Construction , 10k-50k Employees 
2994,Algonomy,3.8,218,Software Product , 201-500 Employees 
2995,VGN Projects Estates,4.3,218,Real Estate , 1k-5k Employees 
2996,Eastern Condiments,4.2,218,Food Processing , 1k-5k Employees 
2997,Hofincons Infotech & Industrial Services,3.9,218,Industrial Machinery , 501-1k Employees 
2998,Globus Infocom,4.9,218,IT Services & Consulting , 201-500 Employees 
2999,Allanasons,3.9,218,Food Processing , 1k-5k Employees 
3000,eNoah iSolution,4.0,218,IT Services & Consulting , 1k-5k Employees 
3001,Health India Tpa Services,3.4,218,Insurance , 51-200 Employees 
3002,Concord Biotech,3.6,218,Pharma , 501-1k Employees 
3003,Merck Life Science,4.0,218,Pharma , 1k-5k Employees 
3004,Sri Sri Tattva,3.8,218,FMCG , 201-500 Employees 
3005,Examity,3.4,218,EdTech , 201-500 Employees (Global) 
3006,Orra Fine Jewellery,3.8,218,Jewellery , 201-500 Employees 
3007,LANXESS India Private Limited,4.2,218,Chemicals , 501-1k Employees 
3008,Centre For Sight,4.0,218,Healthcare , 501-1k Employees 
3009,McNROE,3.8,218,FMCG , 501-1k Employees 
3010,Ajio Business,3.5,218,Mumbai +83 more,
3011,Harsha Engineers,4.1,217,Industrial Machinery , 501-1k Employees 
3012,Associated Road Carriers,4.1,217,Urban Transport , 1k-5k Employees 
3013,Syncfusion,3.7,217,Software Product , 1k-5k Employees 
3014,Manipal Technologies,3.8,217,Printing & Publishing , 1k-5k Employees 
3015,BridgeLabz Solutions,3.5,217,EdTech , 201-500 Employees 
3016,ProConnect Integrated Logistics,4.0,217,Logistics , 51-200 Employees 
3017,Cactus Communications,3.6,217,Software Product , 1k-5k Employees 
3018,Vindhya e-Info Media,3.7,217,BPO , 1k-5k Employees 
3019,TravelTriangle,3.7,217,Internet , 51-200 Employees 
3020,NVH India Auto Parts,3.7,217,Auto Components , 201-500 Employees 
3021,Arzooo.com,2.7,217,Internet , 51-200 Employees 
3022,TransUnion,4.2,217,Financial Services , 501-1k Employees 
3023,Shree Baidyanath Ayurved Bhawan,3.8,216,Pharma , 501-1k Employees 
3024,Shriram Chits,3.8,216,Financial Services , 1k-5k Employees 
3025,Iconic,4.0,216,Retail , 201-500 Employees 
3026,MapmyIndia,3.8,216,Software Product , 201-500 Employees 
3027,Stanley Black & Decker,3.9,216,Industrial Machinery , 501-1k Employees 
3028,Aptus Value Housing Finance India,4.2,216,NBFC , 1k-5k Employees 
3029,Solartis Technology Services,3.7,216,IT Services & Consulting , 51-200 Employees 
3030,Servion Global Solutions,3.8,216,IT Services & Consulting , 1k-5k Employees 
3031,Aliens Group,3.8,216,Real Estate , 501-1k Employees 
3032,Adama,4.2,216,Agro Chemicals , 201-500 Employees 
3033,CESC,3.8,216,Power , 5k-10k Employees 
3034,Walplast Products,4.0,216,Engineering & Construction , 201-500 Employees 
3035,Globtier Infotech,3.7,216,IT Services & Consulting , 1k-5k Employees 
3036,New Opportunity Consultancy,4.2,216,Financial Services , 201-500 Employees 
3037,Bhilai Engineering Corporation,4.0,216,Industrial Machinery , 501-1k Employees 
3038,D.p. Jain & Co. Infrastructure Pvt .,3.5,216,Engineering & Construction , 201-500 Employees 
3039,Sureti Insurance Marketing,4.4,216,Insurance , 51-200 Employees 
3040,Global Aluminium,3.8,215,1k-5k Employees , 26 years old 
3041,Richa Global Export,3.9,215,Fashion & Textile , 10k-50k Employees 
3042,Technicolor,4.0,215,Animation & VFX , 5k-10k Employees 
3043,Etisalat,3.5,215,Telecom , 1k-5k Employees 
3044,Shah Technical Consultants,3.4,215,Telecom , 51-200 Employees 
3045,Watertec India,4.2,215,Building Material , 1k-5k Employees 
3046,Thyssenkrupp Industrial Solutions,4.2,215,Industrial Machinery , 1k-5k Employees 
3047,The Dow Chemical Company,4.3,215,Chemicals , 1k-5k Employees 
3048,Hollister Medical,4.1,215,Medical Equipment , 51-200 Employees 
3049,NTT Global Networks,4.2,215,Telecom , 501-1k Employees 
3050,Sub-K IMPACT Solutions,4.2,215,Financial Services , 1k-5k Employees 
3051,Allana Group of Companies,3.8,214,Food Processing , 5k-10k Employees 
3052,IVTL Infoview Technologies,3.5,214,IT Services & Consulting , 51-200 Employees 
3053,MMC Infotech Services,3.3,214,IT Services & Consulting , 201-500 Employees 
3054,Seven Hills Hospital,3.8,214,Healthcare , 501-1k Employees 
3055,Walchandnagar Industries,3.8,214,Industrial Machinery , 1k-5k Employees 
3056,Four Points By Sheraton,4.6,214,Hospitality , 501-1k Employees 
3057,ABI Showatech,3.8,214,Auto Components , 1k-5k Employees 
3058,Flyjac Logistics,4.3,214,Logistics , 501-1k Employees 
3059,SALARPURIA SATTVA,4.3,214,Real Estate , 1k-5k Employees 
3060,Allana Group of Companies,3.8,214,Food Processing , 5k-10k Employees 
3061,OptimHire,4.0,214,IT Services & Consulting , 51-200 Employees 
3062,The Hershey Company,4.1,213,Food Processing , 201-500 Employees 
3063,Tega Industries,3.8,213,Industrial Machinery , 1k-5k Employees 
3064,Titan Laboratories,3.7,213,Pharma , 201-500 Employees 
3065,Espire Infolabs,2.8,213,IT Services & Consulting , 501-1k Employees 
3066,Signode,4.0,213,501-1k Employees , 110 years old 
3067,Vedant Fashions,3.7,213,Fashion & Textile , 1k-5k Employees 
3068,Ambuja Neotia,4.1,213,Real Estate , 501-1k Employees 
3069,Apollo Clinic,3.8,213,Healthcare , 201-500 Employees 
3070,B2x Service Solutions,3.7,213,BPO , 201-500 Employees 
3071,Gartner India Research and Advisory Services,4.2,213,Analytics & KPO , 1k-5k Employees 
3072,POSCO MAHARASHTRA STEEL,4.2,213,Iron & Steel , 1k-5k Employees 
3073,Imarque Solutions,3.2,213,BPO , 201-500 Employees 
3074,SGSL ( Suzlon Global Services Ltd ),3.9,213,51-200 Employees , Pune +36 more
3075,Citykart Retail,4.1,213,Retail , 201-500 Employees 
3076,Mahindra Lifespace Developers,4.1,213,Real Estate , 201-500 Employees 
3077,Copeland,4.0,213,Pune +24 more,
3078,TowerVision India,4.2,212,Telecom , 501-1k Employees 
3079,Agarwal Packers and Movers Limited,3.5,212,Logistics , 5k-10k Employees 
3080,Rolta India,2.9,212,IT Services & Consulting , 501-1k Employees 
3081,Sabre,3.9,212,Software Product , 1k-5k Employees 
3082,ServiceNow,4.1,212,Software Product , 1k-5k Employees 
3083,Synopsys,4.3,212,Software Product , 1k-5k Employees 
3084,ABC Consultants,4.0,212,Recruitment , 501-1k Employees 
3085,Indian Political Action Committee,2.9,212,Other , 201-500 Employees (Global) 
3086,SISL Infotech,3.4,212,IT Services & Consulting , 501-1k Employees 
3087,Theme Engineering Services,3.6,212,Engineering & Construction , 501-1k Employees 
3088,Nidec Corporation,4.0,212,Industrial Machinery , 501-1k Employees 
3089,Mfar Constructions,4.0,212,Engineering & Construction , 501-1k Employees 
3090,Don Bosco School,4.0,212,Education & Training , 201-500 Employees (Global) 
3091,Sj Contracts,4.3,212,Engineering & Construction , 501-1k Employees 
3092,Incred Finance,4.0,212,FinTech , 501-1k Employees 
3093,Micron Technology,3.6,211,Semiconductors , 1k-5k Employees 
3094,Azure Power,3.9,211,Power , 501-1k Employees 
3095,AXIS MY INDIA,4.2,211,Analytics & KPO , 51-200 Employees 
3096,Nabard Financial Services,4.3,211,Government , 1k-5k Employees 
3097,QSpiders,3.7,211,Education & Training , 1k-5k Employees 
3098,Military Engineer Services,4.4,211,Engineering & Construction , 51-200 Employees 
3099,Khimji Ramdas,4.2,211,Other , 201-500 Employees 
3100,Micron Technology,3.6,211,Semiconductors , 1k-5k Employees 
3101,Military Engineer Services,4.4,211,Engineering & Construction , 51-200 Employees 
3102,Vem Technologies,3.8,211,Defence & Aerospace , 1k-5k Employees 
3103,Khimji Ramdas,4.2,211,Other , 201-500 Employees 
3104,Hindustan Syringes & Medical Devices,4.1,211,Medical Equipment , 51-200 Employees 
3105,Rosenberger Electronic,4.1,211,Electronics Manufacturing , 501-1k Employees 
3106,QSpiders,3.7,211,Education & Training , 1k-5k Employees 
3107,QBurst Technologies,4.6,211,IT Services & Consulting , 1k-5k Employees 
3108,Azure Power,3.9,211,Power , 501-1k Employees 
3109,AXIS MY INDIA,4.2,211,Analytics & KPO , 51-200 Employees 
3110,SiliconIndia,2.6,211,Printing & Publishing , 201-500 Employees 
3111,Mahagun India,3.2,211,Real Estate , 501-1k Employees 
3112,NortonLifeLock's,4.1,211,IT Services & Consulting , 501-1k Employees 
3113,HYT Engineering,3.2,211,Industrial Machinery , 201-500 Employees 
3114,Zebronics,3.4,210,Consumer Electronics & Appliances , 1k-5k Employees 
3115,Can-Pack,4.3,210,Packaging , 501-1k Employees 
3116,ReGen Powertech,4.0,210,Power , 501-1k Employees 
3117,Efftronics Systems,3.5,210,Electronics Manufacturing , 501-1k Employees 
3118,Pitambari Products,4.1,210,FMCG , 1k-5k Employees 
3119,Enser Communications,4.2,210,IT Services & Consulting , 501-1k Employees 
3120,GE Aviation,4.2,210,Aviation , 1k-5k Employees 
3121,Sgs Tekniks Manufacturing,4.0,210,Electronics Manufacturing , 201-500 Employees 
3122,Koyo Bearings India,4.0,210,Auto Components , 1k-5k Employees 
3123,Nimbus Harbor Facilities Management,3.9,210,Facility Management Services , 10k-50k Employees 
3124,Zebronics,3.4,210,Consumer Electronics & Appliances , 1k-5k Employees 
3125,Expleo Group,3.8,210,IT Services & Consulting , 10k-50k Employees 
3126,AIG Hospital,4.3,210,Healthcare , 201-500 Employees 
3127,Flyhomes,4.4,210,Internet , 201-500 Employees 
3128,Ichhapurti.com,2.3,210,Software Product , 51-200 Employees 
3129,Pfizer Healthcare india pvt lit,4.0,210,Pharma , 1k-5k Employees 
3130,MIOT INTERNATIONAL,3.7,210,Healthcare , 501-1k Employees 
3131,Country Inns & Suites,3.9,209,Hospitality , 11-50 Employees 
3132,Vascon Engineers,3.8,209,Real Estate , 501-1k Employees 
3133,Thomson Digital,3.9,209,Printing & Publishing , 201-500 Employees 
3134,Indiabulls Real Estate,4.4,209,Real Estate , 501-1k Employees 
3135,Casagrand,3.9,209,Real Estate , 501-1k Employees 
3136,International Automotive Components,3.8,209,Auto Components , 501-1k Employees 
3137,Bharat Dynamics,4.3,209,Industrial Machinery , 1k-5k Employees 
3138,Hexagon Capability Center,4.2,209,IT Services & Consulting , 1k-5k Employees 
3139,Vision India Services,3.5,209,Recruitment , 51-200 Employees 
3140,MAQ Software,2.4,209,IT Services & Consulting , 501-1k Employees 
3141,Bhandari Automobiles,4.0,209,Automobile , 501-1k Employees 
3142,Laser Power & Infra,3.4,209,Electrical Equipment , 1k-5k Employees 
3143,Freyr Solutions,3.6,209,Pharma , 5k-10k Employees 
3144,Sarvodaya Hospital,4.2,209,Healthcare , 51-200 Employees 
3145,Refinitiv,4.1,209,Financial Services , 51-200 Employees 
3146,Volkswagen Group Technology Solution,3.6,209,Software Product , 1k-5k Employees 
3147,Mitra SK,3.9,208,Other , 1k-5k Employees 
3148,Prem Henna,3.6,208,Beauty & Personal Care , 201-500 Employees 
3149,Dnata,4.1,208,Aviation , 501-1k Employees 
3150,Nava Bharat Ventures,3.8,208,Metals & Mining , 51-200 Employees 
3151,Hamleys,4.0,208,Retail , 1k-5k Employees 
3152,Munjal Kiriu Industries,3.6,208,Auto Components , 201-500 Employees 
3153,Pratibha Industries,4.4,208,Engineering & Construction , 501-1k Employees 
3154,Focus Energy,3.4,208,Oil & Gas , 501-1k Employees 
3155,Mobikwik,3.3,208,FinTech , 201-500 Employees 
3156,Dixit Infotech Services,4.1,208,IT Services & Consulting , 501-1k Employees 
3157,Infocepts Technologies,3.3,208,IT Services & Consulting , 1k-5k Employees 
3158,Baxter Pharmaceutical Solutions LLC.,4.3,208,Pharma , 1k-5k Employees 
3159,Adani Capital,4.3,208,NBFC , 201-500 Employees 
3160,Adani Capital,4.3,208,NBFC , 201-500 Employees 
3161,Hygienic Research Institute,4.4,208,Beauty & Personal Care , 1k-5k Employees 
3162,Linkquest Telecom,3.5,207,Telecom , 501-1k Employees 
3163,Jaypee Hospital,4.1,207,Healthcare , 501-1k Employees 
3164,Shivam Infocom,4.0,207,Telecom , 1k-5k Employees 
3165,Religare Finvest,4.5,207,Financial Services , 1k-5k Employees 
3166,Powerica,3.8,207,Industrial Machinery , 501-1k Employees 
3167,Inventia Healthcare,4.1,207,Pharma , 501-1k Employees 
3168,Nexval Infotech,3.2,207,IT Services & Consulting , 501-1k Employees 
3169,Atyati Technologies,4.4,207,IT Services & Consulting , 501-1k Employees 
3170,Perficient,3.8,207,IT Services & Consulting , 501-1k Employees 
3171,Scania,4.4,206,Auto Components , 201-500 Employees 
3172,Core Integra Consulting Services,3.6,206,Recruitment , 1k-5k Employees 
3173,Seth M R Jaipuria School,3.8,206,Education & Training , 1k-5k Employees 
3174,Luxor Writing Instruments,3.8,206,Other , 1k-5k Employees 
3175,Delhi Duty Free Services,3.9,206,Retail , 501-1k Employees 
3176,Royal Research,2.3,206,Analytics & KPO , 501-1k Employees 
3177,Shree Renuka Sugars,4.2,206,Food Processing , 1k-5k Employees 
3178,Dishnet Wireless,4.3,206,Telecom , 1k-5k Employees 
3179,M*Modal,3.3,206,IT Services & Consulting , 1k-5k Employees 
3180,Shree Renuka Sugars,4.2,206,Food Processing , 1k-5k Employees 
3181,Luxor Writing Instruments,3.8,206,Other , 1k-5k Employees 
3182,CG Foods,3.7,206,FMCG , 1k-5k Employees 
3183,Royal Research,2.3,206,Analytics & KPO , 501-1k Employees 
3184,Trivium Education Services,3.8,206,BPO , 51-200 Employees 
3185,T R Chadha & Co Llp,3.7,206,Accounting & Auditing , 51-200 Employees 
3186,Asti Electronics India,3.9,206,Auto Components , 201-500 Employees 
3187,Kirloskar Electric Company,3.7,206,Electrical Equipment , 1k-5k Employees 
3188,Muthoot Homefin India,3.8,206,Investment Banking / Venture Capital / Private Equity , 201-500 Employees 
3189,Mahindra Trucks & Buses,3.9,206,Automobile , Pune +48 more
3190,NACL Industries,4.3,206,Agro Chemicals , 1k-5k Employees 
3191,Kalkine,3.8,206,Analytics & KPO , 51-200 Employees 
3192,Seth M R Jaipuria School,3.8,206,Education & Training , 1k-5k Employees 
3193,Core Integra Consulting Services,3.6,206,Recruitment , 1k-5k Employees 
3194,Elite Elevators,3.8,206,Industrial Machinery , 51-200 Employees 
3195,DSV - Global Transport and Logistics,4.1,206,Logistics , 501-1k Employees 
3196,Anand Rathi Global Finance,3.6,206,NBFC , 51-200 Employees 
3197,Amara Raja Power Systems,4.1,206,Auto Components , 10k-50k Employees 
3198,Confidence Petroleum India,3.3,206,Oil & Gas , 501-1k Employees 
3199,Cimpress,4.1,205,Printing & Publishing , 1k-5k Employees 
3200,Case New-Holland Construction Equipment India,4.0,205,Industrial Machinery , 51-200 Employees 
3201,Elico Healthcare Services,2.8,205,Analytics & KPO , 501-1k Employees 
3202,Sonalika Group of Companies,3.8,205,Automobile , 5k-10k Employees 
3203,TÜV Rheinland,3.9,205,Law Enforcement & Security , 501-1k Employees 
3204,MARK EXHAUST SYSTEMS,4.0,205,Auto Components , 501-1k Employees 
3205,CTDI,3.6,205,Telecom , 201-500 Employees 
3206,Global Edge Software,3.6,205,IT Services & Consulting , 201-500 Employees 
3207,Godrej Infotech,4.1,205,IT Services & Consulting , 501-1k Employees 
3208,ACG Worldwide,4.1,205,Pharma , 1k-5k Employees 
3209,Zydus Hospital,4.2,205,Healthcare , 501-1k Employees 
3210,N+A,3.5,205,Financial Services , Los Angeles +38 more
3211,SBL,3.3,205,IT Services & Consulting , 1k-5k Employees 
3212,Peter England,4.2,205,Fashion & Textile , 501-1k Employees 
3213,MBD GROUP,4.0,205,Printing & Publishing , 501-1k Employees 
3214,Monsanto Holdings,4.5,205,Agro Chemicals , 1k-5k Employees 
3215,Etech Global Services,4.0,205,BPO , 1k-5k Employees 
3216,Mahindra Electric,3.7,205,Automobile , 201-500 Employees 
3217,Cipla Health,4.3,205,Pharma , 501-1k Employees 
3218,Sequential Technology International,3.8,205,BPO , 501-1k Employees 
3219,Planetcast,3.7,205,Media & Entertainment , 1k-5k Employees 
3220,Velozity Global Solutions,4.9,205,Software Product , 11-50 Employees 
3221,Woodland,3.7,204,Fashion & Textile , 5k-10k Employees (Global) 
3222,MobileComm Technologies India,4.0,204,Telecom , 201-500 Employees 
3223,OnsiteGo,4.0,204,Internet , 501-1k Employees 
3224,Cygnet Infotech,3.8,204,IT Services & Consulting , 1k-5k Employees 
3225,Wallace Pharmaceuticals,3.7,204,Pharma , 1k-5k Employees 
3226,Sedemac Mechatronics,4.1,204,Emerging Technologies , 201-500 Employees 
3227,GRT Jewellers,4.3,204,Jewellery , 5k-10k Employees 
3228,Uneecops Technologies,4.1,204,IT Services & Consulting , 501-1k Employees 
3229,Knowledge Splice Services pvt ltd.,3.5,204,BPO , 201-500 Employees 
3230,Baramati Agro,4.0,204,FMCG , 1k-5k Employees 
3231,Wagh Bakri Tea Group,4.3,204,Beverage , 1k-5k Employees 
3232,Mahindra Susten,4.3,204,Engineering & Construction , 501-1k Employees 
3233,Tata Digital,3.3,204,Internet , 501-1k Employees 
3234,Shangri-la Hotels & Resorts,4.2,204,Hospitality , 501-1k Employees 
3235,Rainbow Childrens Hospital,4.3,203,Healthcare , 5k-10k Employees 
3236,Ordnance Factory,4.3,203,Government , 50k-1 Lakh Employees (Global) 
3237,Dalmia Bharat Group,4.2,203,Building Material , 5k-10k Employees 
3238,Caretel Infotech,3.6,203,Analytics & KPO , 5k-10k Employees (Global) 
3239,Icertis,3.7,203,Software Product , 1k-5k Employees 
3240,ZF Friedrichshafen,3.9,203,Auto Components , 1 Lakh+ Employees (Global) 
3241,Checkmate Services,4.0,203,Facility Management Services , 10k-50k Employees 
3242,Jubilant Biosys,3.9,203,Biotechnology , 1k-5k Employees 
3243,Bharat IT Services,3.0,203,IT Services & Consulting , 501-1k Employees 
3244,Caretel Infotech,3.6,203,Analytics & KPO , 5k-10k Employees (Global) 
3245,Sembcorp Energy India,4.2,203,Power , 501-1k Employees 
3246,Bihar Rural Livelihoods Promotion Society,3.9,203,Non-Profit , 1k-5k Employees 
3247,Citylife Retail,3.9,203,Retail , 51-200 Employees 
3248,Rainbow Childrens Hospital,4.3,203,Healthcare , 5k-10k Employees 
3249,Nuance Communications,4.3,203,Software Product , 1k-5k Employees 
3250,SVC Co-Operative Bank,3.8,203,Banking , 1k-5k Employees 
3251,Ordnance Factory,4.3,203,Government , 50k-1 Lakh Employees (Global) 
3252,Arjas Steel,4.2,203,Iron & Steel , 51-200 Employees 
3253,Course5,3.7,203,Analytics & KPO , 501-1k Employees 
3254,Sir H. N. Reliance Foundation Hospital and Research,3.9,203,Healthcare , 51-200 Employees 
3255,DeHaat,3.7,203,Agriculture , 1k-5k Employees 
3256,Jindal Industries,3.4,202,Import & Export , 1k-5k Employees (Global) 
3257,Munjal Auto Industries,3.8,202,Auto Components , 1k-5k Employees 
3258,Radiant Cash Management Services,3.5,202,Financial Services , 5k-10k Employees 
3259,Western Digital,3.6,202,Consumer Electronics & Appliances , 1k-5k Employees 
3260,PhyCARE Solutions,3.8,202,Healthcare , 501-1k Employees 
3261,Health Total,3.6,202,Fitness & Wellness , 11-50 Employees 
3262,Syndicate Bank,4.1,202,Banking , 10k-50k Employees 
3263,Sterling Tools,3.9,202,Automobile , 501-1k Employees 
3264,Kubota Agricultural Machinery India,4.2,202,Other , 201-500 Employees 
3265,Molecular Connections,3.4,202,IT Services & Consulting , 1k-5k Employees 
3266,Aegon Life Insurance,3.6,202,Insurance , 1k-5k Employees 
3267,YKK,3.8,202,Fashion & Textile , 201-500 Employees 
